date,cpi_rate,gdp_value,usd_vnd_rate,xau_usd_rate,market_cap,pe_ratio,fpt_net_revenue,fpt_gross_profit,fpt_operating_profit,fpt_net_profit,fpt_stock_price,fpt_stock_volume
2022-12-31,,413445230668.58,,,,,13042426271109.0,5241273784162.0,1978262144383.0,1351601105816.0,,
2023-01-02,,,23610.0,1823.94,,,,,,,,
2023-01-03,,,23590.0,1850.69,,,,,,,50.26,1538861.0
2023-01-04,,,23562.5,1865.49,,,,,,,50.26,796544.0
2023-01-05,,,23522.5,1859.36,,,,,,,50.64,1014719.0
2023-01-06,,,23515.0,1870.37,,,,,,,50.45,721096.0
2023-01-09,,,23485.0,1881.8,,,,,,,50.45,520315.0
2023-01-10,,,23482.5,1881.04,,,,,,,50.51,754254.0
2023-01-11,,,23465.0,1887.09,,,,,,,50.83,1078639.0
2023-01-12,,,23460.0,1901.88,,,,,,,50.7,544065.0
2023-01-13,,,23450.5,1922.24,,,,,,,50.26,629501.0
2023-01-16,,,23450.0,1929.24,,,,,,,50.76,576876.0
2023-01-17,,,23450.0,1919.83,,,,,,,51.52,980634.0
2023-01-18,,,23470.0,1926.3,,,,,,,52.4,956810.0
2023-01-19,,,23485.0,1935.4,,,,,,,52.71,1329468.0
2023-01-20,,,23440.0,1937.72,,,,,,,,
2023-01-23,,,23440.0,1935.69,,,,,,,,
2023-01-24,,,23440.0,1942.93,,,,,,,,
2023-01-25,,,23440.0,1948.12,,,,,,,,
2023-01-26,,,23440.0,1949.27,,,,,,,,
2023-01-27,,,23485.0,1935.15,,,,,,,52.77,1145253.0
2023-01-29,0.0489,,,,,,,,,,,
2023-01-30,,,23477.5,1934.61,,,,,,,52.59,893299.0
2023-01-31,,,23476.0,1931.15,,,,,,,52.46,1531495.0
2023-02-01,,,23495.0,1954.63,,,,,,,51.52,1051061.0
2023-02-02,,,23454.5,1959.77,,,,,,,51.46,1327690.0
2023-02-03,,,23505.0,1918.72,,,,,,,50.32,1730152.0
2023-02-06,,,23505.0,1881.54,,,,,,,50.58,946115.0
2023-02-07,,,23615.0,1884.45,,,,,,,50.7,752838.0
2023-02-08,,,23634.5,1886.28,,,,,,,51.02,671553.0
2023-02-09,,,23640.0,1890.69,,,,,,,50.7,743939.0
2023-02-10,,,23630.0,1872.31,,,,,,,50.7,725810.0
2023-02-13,,,23610.0,1866.83,,,,,,,50.7,614692.0
2023-02-14,,,23622.5,1871.03,,,,,,,50.76,621417.0
2023-02-15,,,23641.5,1860.18,,,,,,,51.27,646219.0
2023-02-16,,,23707.5,1845.45,,,,,,,51.27,425495.0
2023-02-17,,,23835.0,1843.77,,,,,,,51.27,468845.0
2023-02-20,,,23855.0,1847.86,,,,,,,52.02,1277504.0
2023-02-21,,,23805.0,1844.44,,,,,,,52.02,841841.0
2023-02-22,,,23805.0,1846.26,,,,,,,51.39,748561.0
2023-02-23,,,23870.0,1834.43,,,,,,,51.14,1161953.0
2023-02-24,,,23847.5,1827.98,,,,,,,50.76,559986.0
