date,fpt_stock_price_log_return_scaled,market_cap_log_return,fpt_stock_price_log_return,gdp_value,cpi_rate,fpt_stock_price,fpt_stock_volume_log_return,fpt_net_revenue_log_return,usd_vnd_rate_log_return,xau_usd_rate_log_return
2020-08-31,-0.5367858833969739,0.0,-0.00829115758398108,346615738537.8,0.0318,21.62,-0.7256188003198161,0.0,-2.156822569077792e-05,0.0013770968725982152
2020-09-01,0.4252556156708418,0.0,0.008291157583981182,346615738537.8,0.0318,21.8,-0.09917668129082212,0.0,0.0,0.007926890748519598
2020-09-02,-0.05576513386306898,0.0,0.0,346615738537.8,0.0318,21.8,0.0,0.0,-0.0003451548916827011,-0.009000053187566076
2020-09-03,0.5004310498508504,0.0,0.009586925743326905,346615738537.8,0.0318,22.01,0.2609963701694093,0.0,0.00012944704555186313,-0.011850677210938697
2020-09-04,-0.5056072736452263,0.0,-0.007753744661666036,346615738537.8,0.0318,21.84,-0.394023088860681,0.0,0.00030197795790401033,-0.0045718474865953755
2020-09-07,-1.8360366478364778,0.0,-0.030685810703443898,346615738537.8,0.0318,21.18,0.38939263740019836,0.0,0.0,-0.00041197827397326125
2020-09-08,1.1371315866446647,0.0,0.020561472037801815,346615738537.8,0.0318,21.62,-0.33232053012157003,0.0,0.0,-0.00033485736677121603
2020-09-09,-0.4056662136467477,0.0,-0.006031101556643208,346615738537.8,0.0318,21.49,-0.08856021872621347,0.0,0.00015095478932725467,0.005216174221788903
2020-09-10,-0.05576513386306898,0.0,0.0,346615738537.8,0.0318,21.49,-0.39339393549564633,0.0,-0.00010782252422977763,0.007938879460289691
2020-09-11,-0.10978386655300844,0.0,-0.0009310987637294623,346615738537.8,0.0318,21.47,-0.14271475431927452,0.0,-8.626639066766852e-05,-0.004357305368955701
2020-09-14,0.10614040763480047,0.0,0.002790699485582181,346615738537.8,0.0318,21.53,0.25669648233150383,0.0,0.00010783182558943825,0.0023313541845288365
2020-09-15,0.7736239305783589,0.0,0.014295839500432648,346615738537.8,0.0318,21.84,0.5254756362898109,0.0,-0.0003235303661465945,0.00499636351360022
2020-09-16,0.5257224327646638,0.0,0.010022862948652084,346615738537.8,0.0318,22.06,0.005961020145601754,0.0,0.00025883266612720474,0.0006487615471418901
2020-09-17,-0.6372527004907982,0.0,-0.010022862948652024,346615738537.8,0.0318,21.84,-0.20473730372922236,0.0,-2.1566830215921557e-05,-0.005156077674530428
2020-09-18,1.3093829032488224,0.0,0.023530497410194036,346615738537.8,0.0318,22.36,0.7493433121593304,0.0,6.469909531362261e-05,-0.0016719002385694281
2020-09-21,-0.05576513386306898,0.0,0.0,346615738537.8,0.0318,22.36,-0.7705256407818163,0.0,4.313040478545593e-05,-0.002272757269889465
2020-09-22,0.0738219531114587,0.0,0.002233639525937206,346615738537.8,0.0318,22.41,0.06349852619272785,0.0,-6.469630478528023e-05,-0.018453773890259494
2020-09-23,-0.28923069929278133,0.0,-0.00402415029972538,346615738537.8,0.0318,22.32,0.09756729773976985,0.0,0.00012938842422948778,-0.007544049058267836
2020-09-24,-0.7355471258920446,0.0,-0.011717123687753805,346615738537.8,0.0318,22.06,-0.03931239106835828,0.0,0.0,-0.014941354286346171
2020-09-25,0.285121492666149,0.0,0.00587572311914631,346615738537.8,0.0318,22.19,-0.3602486592684815,0.0,0.00043117387754331175,-0.0010765927415842356
2020-09-28,0.2831302316366967,0.0,0.005841400568607633,346615738537.8,0.0318,22.32,0.0848454285754038,0.0,-8.621990391824331e-05,0.0043153629265702395
2020-09-29,-1.078448552089597,0.0,-0.017627575083313345,346615738537.8,0.0298,21.93,0.3703304247400018,0.0,-0.0001940219682069357,0.008380461617889677
2020-09-30,-0.2943512742932497,0.0,-0.004112411553092548,346615738537.8,0.0298,21.84,0.2743029765266849,0.07891257413092459,-0.00017249558022843243,0.0016571842714274761
2020-10-01,0.8666090592938834,0.0,0.015898586067798422,346615738537.8,0.0298,22.19,-1.0156716822841316,0.0,0.00019405543577838663,0.0050858942286232285
2020-10-02,-0.6338290302838722,0.0,-0.00996385054798384,346615738537.8,0.0298,21.97,0.7660293620219744,0.0,0.00015090597508505288,0.0027106303009637256
2020-10-05,0.18141213602852088,0.0,0.00408812742883761,346615738537.8,0.0298,22.06,-0.2624012272746972,0.0,0.0004956736413889145,0.0007612056613353626
2020-10-06,-0.05576513386306898,0.0,0.0,346615738537.8,0.0298,22.06,0.014529929483936409,0.0,0.00012926577060393986,0.0012292180388551537
2020-10-07,-0.1874105607086396,0.0,-0.002269118286985965,346615738537.8,0.0298,22.01,-0.017638148037409866,0.0,-2.1543134742401885e-05,-0.011933921980522724
2020-10-08,0.7556622850114831,0.0,0.01398624197473987,346615738537.8,0.0298,22.32,0.7180306566662575,0.0,-6.46321890069684e-05,0.001274006237009173
2020-10-09,-0.3946604993628325,0.0,-0.005841400568607595,346615738537.8,0.0298,22.19,-0.9593028784537788,0.0,0.0,0.015711939375741543
2020-10-12,0.04872136843174285,0.0,0.0018009910316025216,346615738537.8,0.0298,22.23,0.2787028080946793,0.0,0.0,0.0013560096066864546
2020-10-13,-0.29112494840625536,0.0,-0.00405680069561443,346615738537.8,0.0298,22.14,-0.23804103092494228,0.0,-0.0009484190136047183,-0.004000855258232509
2020-10-14,0.3099387362207136,0.0,0.006303487778592525,346615738537.8,0.0298,22.28,0.6788746440027233,0.0,-8.626453023524789e-05,-0.0066167441231951875
2020-10-15,0.1521781522564684,0.0,0.0035842332278151067,346615738537.8,0.0298,22.36,-0.22440900041899708,0.0,0.0,-0.0019935908231398713
2020-10-16,2.1837313693376155,0.0,0.0386012836968121,346615738537.8,0.0298,23.24,1.0974741975759408,0.0,6.469909531362261e-05,0.002531858815200978
2020-10-19,0.04400464948235284,0.0,0.001719690879526679,346615738537.8,0.0298,23.28,-0.9051502189450382,0.0,-6.46990953135458e-05,0.002363900752471447
2020-10-20,-0.155534917208492,0.0,-0.0017196908795266994,346615738537.8,0.0298,23.24,-0.21289911944941475,0.0,4.313319531369392e-05,-0.0022907604746102276
2020-10-21,-0.5068646267967613,0.0,-0.007775417142797449,346615738537.8,0.0298,23.06,0.5608964827737881,0.0,-0.00010783647687111524,0.008950525348992228
2020-10-22,1.2625570045284407,0.0,0.022723378578670825,346615738537.8,0.0298,23.59,-0.3424975962453917,0.0,-8.627755494761793e-05,-0.00280499275272752
